SGR;signallingState;RD5
time;value;status
2019-07-11 00:56:30.000+0200;12;Gelb
2019-07-11 00:56:32.000+0200;3;Rot
2019-07-11 00:57:11.000+0200;15;Rot/Gelb
2019-07-11 00:57:12.000+0200;48;Grün
2019-07-11 00:57:42.000+0200;12;Gelb
2019-07-11 00:57:44.000+0200;3;Rot
2019-07-11 00:58:22.000+0200;15;Rot/Gelb
2019-07-11 00:58:23.000+0200;48;Grün
2019-07-11 00:58:54.000+0200;12;Gelb
2019-07-11 00:58:56.000+0200;3;Rot
2019-07-11 00:59:34.000+0200;15;Rot/Gelb
2019-07-11 00:59:35.000+0200;48;Grün
2019-07-11 01:00:06.000+0200;12;Gelb
2019-07-11 01:00:08.000+0200;3;Rot
2019-07-11 01:00:46.000+0200;15;Rot/Gelb
2019-07-11 01:00:47.000+0200;48;Grün
2019-07-11 01:01:18.000+0200;12;Gelb
2019-07-11 01:01:20.000+0200;3;Rot
2019-07-11 01:01:58.000+0200;15;Rot/Gelb
2019-07-11 01:01:59.000+0200;48;Grün
2019-07-11 01:02:30.000+0200;12;Gelb
2019-07-11 01:02:32.000+0200;3;Rot
2019-07-11 01:03:10.000+0200;15;Rot/Gelb
2019-07-11 01:03:11.000+0200;48;Grün
2019-07-11 01:03:42.000+0200;12;Gelb
2019-07-11 01:03:44.000+0200;3;Rot
2019-07-11 01:04:22.000+0200;15;Rot/Gelb
2019-07-11 01:04:23.000+0200;48;Grün
2019-07-11 01:04:54.000+0200;12;Gelb
2019-07-11 01:04:56.000+0200;3;Rot
2019-07-11 01:05:34.000+0200;15;Rot/Gelb
2019-07-11 01:05:35.000+0200;48;Grün
2019-07-11 01:06:06.000+0200;12;Gelb
2019-07-11 01:06:08.000+0200;3;Rot
2019-07-11 01:06:46.000+0200;15;Rot/Gelb
2019-07-11 01:06:47.000+0200;48;Grün
2019-07-11 01:07:18.000+0200;12;Gelb
2019-07-11 01:07:20.000+0200;3;Rot
2019-07-11 01:07:58.000+0200;15;Rot/Gelb
2019-07-11 01:07:59.000+0200;48;Grün
2019-07-11 01:08:30.000+0200;12;Gelb
2019-07-11 01:08:32.000+0200;3;Rot
2019-07-11 01:09:10.000+0200;15;Rot/Gelb
2019-07-11 01:09:11.000+0200;48;Grün
2019-07-11 01:09:42.000+0200;12;Gelb
2019-07-11 01:09:44.000+0200;3;Rot
2019-07-11 01:10:22.000+0200;15;Rot/Gelb
2019-07-11 01:10:23.000+0200;48;Grün
2019-07-11 01:10:54.000+0200;12;Gelb
2019-07-11 01:10:56.000+0200;3;Rot
2019-07-11 01:11:34.000+0200;15;Rot/Gelb
2019-07-11 01:11:35.000+0200;48;Grün
2019-07-11 01:12:06.000+0200;12;Gelb
2019-07-11 01:12:08.000+0200;3;Rot
2019-07-11 01:12:46.000+0200;15;Rot/Gelb
2019-07-11 01:12:47.000+0200;48;Grün
2019-07-11 01:13:18.000+0200;12;Gelb
2019-07-11 01:13:20.000+0200;3;Rot
2019-07-11 01:13:58.000+0200;15;Rot/Gelb
2019-07-11 01:13:59.000+0200;48;Grün
2019-07-11 01:14:30.000+0200;12;Gelb
2019-07-11 01:14:32.000+0200;3;Rot
2019-07-11 01:15:10.000+0200;15;Rot/Gelb
2019-07-11 01:15:11.000+0200;48;Grün
2019-07-11 01:15:42.000+0200;12;Gelb
2019-07-11 01:15:44.000+0200;3;Rot
2019-07-11 01:16:22.000+0200;15;Rot/Gelb
2019-07-11 01:16:23.000+0200;48;Grün
2019-07-11 01:16:54.000+0200;12;Gelb
2019-07-11 01:16:56.000+0200;3;Rot
2019-07-11 01:17:34.000+0200;15;Rot/Gelb
2019-07-11 01:17:35.000+0200;48;Grün
2019-07-11 01:18:06.000+0200;12;Gelb
2019-07-11 01:18:08.000+0200;3;Rot
2019-07-11 01:18:46.000+0200;15;Rot/Gelb
2019-07-11 01:18:47.000+0200;48;Grün
2019-07-11 01:19:18.000+0200;12;Gelb
2019-07-11 01:19:20.000+0200;3;Rot
2019-07-11 01:19:58.000+0200;15;Rot/Gelb
2019-07-11 01:19:59.000+0200;48;Grün
2019-07-11 01:20:30.000+0200;12;Gelb
2019-07-11 01:20:32.000+0200;3;Rot
2019-07-11 01:21:10.000+0200;15;Rot/Gelb
2019-07-11 01:21:11.000+0200;48;Grün
2019-07-11 01:21:42.000+0200;12;Gelb
2019-07-11 01:21:44.000+0200;3;Rot
2019-07-11 01:22:22.000+0200;15;Rot/Gelb
2019-07-11 01:22:23.000+0200;48;Grün
2019-07-11 01:22:54.000+0200;12;Gelb
2019-07-11 01:22:56.000+0200;3;Rot
2019-07-11 01:23:34.000+0200;15;Rot/Gelb
2019-07-11 01:23:35.000+0200;48;Grün
2019-07-11 01:24:06.000+0200;12;Gelb
2019-07-11 01:24:08.000+0200;3;Rot
2019-07-11 01:24:46.000+0200;15;Rot/Gelb
2019-07-11 01:24:47.000+0200;48;Grün
2019-07-11 01:25:18.000+0200;12;Gelb
2019-07-11 01:25:20.000+0200;3;Rot
2019-07-11 01:25:58.000+0200;15;Rot/Gelb
2019-07-11 01:25:59.000+0200;48;Grün
2019-07-11 01:26:30.000+0200;12;Gelb
2019-07-11 01:26:32.000+0200;3;Rot
2019-07-11 01:27:10.000+0200;15;Rot/Gelb
2019-07-11 01:27:11.000+0200;48;Grün
2019-07-11 01:27:42.000+0200;12;Gelb
2019-07-11 01:27:44.000+0200;3;Rot
2019-07-11 01:28:22.000+0200;15;Rot/Gelb
2019-07-11 01:28:23.000+0200;48;Grün
2019-07-11 01:28:57.000+0200;12;Gelb
2019-07-11 01:28:59.000+0200;3;Rot
